,billing_amount,merchant_name,merchant_category
225,863.0,SIDDHI ASSOCIATES,GENERAL
226,290.0,WWW SWIGGY IN,FOOD
227,258.0,FRESICA VALUE STORES,GENERAL
228,254.0,BAHAR CAFE,FOOD
229,237.75,"MORE,",FOOD
230,350.0,RANG DE BASANTHI FAMIL,FOOD
231,160.0,MUMTAZ FRESH,FOOD
232,856.0,SWATHI MAHARAJ,GENERAL
233,1214.0,MORSOR ENTERPRISES,FOOD
234,505.35,MORE MEGASTORE,FOOD
235,108.0,VASUDEV ADIGAS,FOOD
236,398.0,LOYAL WORLD CENTRE4.,FOOD
237,233.0,PEPPERS,FOOD
238,90.0,SUJATHA WINE CENTRE,FOOD
239,10.0,WWW OLACABS COM,TRAVEL
240,80.0,LASSI SHOP,FOOD
241,100.0,LASSI SHOP,FOOD
242,280.0,MAST KALANDAR,FOOD
243,130.0,MUMTAZ FRESH,FOOD
244,165.0,NEALS,FOOD
245,100.0,LASSI SHOP,FOOD
246,934.0,PARADISE FOOD COURT,FOOD
247,287.0,SRI MAHALAKSHMI SUPER,FOOD
248,255.0,SPAR GOPALAN SIGNATURE,FOOD
249,545.0,ARS FOOD,FOOD
250,200.0,BALAJI WINES,FOOD
251,455.0,NEW KABAB ZONE,FOOD
252,492.0,MORE MEGASTORE,FOOD
253,586.0,SAFA SUPER BAZAR,FOOD
254,1177.0,DOMINOS,FOOD
255,631.94,BRAND FACTORY,FOOD
256,467.0,Grand Mart Super Mar3.,FOOD
257,653.26,BRAND FACTORY,FOOD
258,266.0,SPAR GOPALAN SIGNATURE,FOOD
259,652.62,BRAND FACTORY,FOOD
260,921.0,FRESICA VALUE STORES,FOOD
261,117.5,MORE MEGASTORE,FOOD
262,263.5,HYPERCITY RETAIL INDIA,FOOD
263,800.85,BRAND FACTORY,FOOD
264,129.0,AAMS BIRYANI,FOOD
265,298.0,SPAR GOPALAN SIGNATURE,FOOD
266,118.35,ADITYA BIRLA RETAIL LT,FOOD
267,1431.0,"MADAME ,",GENERAL
268,410.2,DMART SIDDAPURA,FOOD
269,705.0,THREE ACES.,FOOD
270,7.0,MORE RAJAKILPAKKAM,FOOD
271,93.0,FOODWORLD,FOOD
272,266.0,VILLAGE HYPER MARKE,FOOD
273,39.99,HERITAGE FOODS,FOOD
274,324.0,RAINBOW RETAIL,FOOD
275,110.0,VASUDEV ADIGAS,FOOD
276,419.0,AHMEDIA STORES,FOOD
277,33.0,CAFE COFFEE DAY,FOOD
278,280.0,CHAKH LE.,FOOD
279,505.0,BARISTA COFFEE,FOOD
280,270.0,EDEN FRESH FRUITS,FOOD
281,462.0,DOMINOS.,FOOD
282,142.0,VASUDEV ADIGAS,FOOD
283,280.0,Paytm Mobile Solutions,UTILITIES
284,150.0,IMPERIO RESTAURANT,FOOD
285,132.0,VASUDEV ADIGAS,FOOD
286,33.0,HERITAGE FOODS,FOOD
287,255.0,PEPPERS,FOOD
288,120.0,MUMTAZ FRESH,FOOD
289,1487.51,S R N S ENTERPRISES,FUEL
290,49.0,MOBIKWIK,MOBILE
291,2000.0,Paytm Mobile Solutions,UTILITIES
292,350.0,PARATHA HOUSE,FOOD
293,140.0,LEON GRILL,FOOD
294,234.98,MC DONALDS.,FOOD
295,266.0,STRIKE HUNGER,FOOD
296,100.0,www.freshmenu.com,FOOD
297,720.0,KPN MARGIN FREE MARKET,FOOD
298,100.0,BALAJI WINES,FOOD
299,1000.0,SRI LAKSHMI VENKATESHW,FUEL
300,1.0,VODAFONE-BILLDESK,MOBILE
301,10.0,TATA DOCOMO-BILLDESK,MOBILE
302,2200.0,Reliance Market,FOOD
303,294.0,SRI KRISHNA SWEETS,FOOD
304,2172.0,THE WORK SHOP,FOOD
305,300.0,THE GOOD FOOD COMPANY,FOOD
306,1005.0,AMAZON SELLER SERVICES,FOOD
307,150.0,IMPERIO RESTAURANT,FOOD
308,265.8,HERITAGE FOODS,FOOD
309,1150.0,NAGARJUNA,FOOD
310,160.0,BALAJI WINES,FOOD
311,23.0,MORE RAJAKILPAKKAM,FOOD
312,184.0,www.airtel.in,UTILITIES
313,2407.0,www.airtel.in,UTILITIES
314,2594.49,BESCOM,UTILITIES
315,273.0,Faasos Mumbai,FOOD
316,16159.16,NiYO,FOOD
317,100.0,NiYO,FOOD
318,260.0,THE BIG MARKET4.,FOOD
319,250.0,HYPERCITY RETAIL INDIA,FOOD
320,1477.0,MORE MEGASTORE,FOOD
321,231.0,WWW SWIGGY IN,FOOD
322,187.7,ADITYA BIRLA RETAIL LT,FOOD
323,214.97,WWW FOODPANDA IN,FOOD
324,1360.0,www.airtel.in,UTILITIES
325,258.47,NiYO,FOOD
326,419.0,MEGHANA FOODS,FOOD
327,336.0,GRAND MART HYPER MARKE,FOOD
328,1093.0,SPAR OASIS MALL KORAMA,FOOD
329,219.0,E K RETAIL,FOOD
330,190.0,Grand Mart Super Mar1.,FOOD
331,300.0,"BIG BAZAR,",FOOD
332,108.0,CAFE COFFEE DAY,FOOD
333,294.0,S L R SPIRITS,GENERAL
